"id","thumbnailUrl","color1","color1Cov","color2","color2Cov","color3","color3Cov","error","source"
"124921702","https://tr.rbxcdn.com/180DAY-5f8ea87e46ab8f386073f01584892fd3/420/420/Shirt/Png/noFilter","#2E5170","0.6771","#28394B","0.1317","#808080","0.1285",,"roblox-cdn-thumbnail"
"124958509","https://tr.rbxcdn.com/180DAY-dac9b5eb6c0f4dddf90dc9bb4774cff2/420/420/Shirt/Png/noFilter","#101241","0.6137","#515152","0.1802","#828180","0.1191",,"roblox-cdn-thumbnail"
"124959926","https://tr.rbxcdn.com/180DAY-77438b83bde02a38f7607d1ba84a7f05/420/420/Shirt/Png/noFilter","#878785","0.8763","#E7E6E5","0.0914","#626160","0.0215",,"roblox-cdn-thumbnail"
"124977425","https://tr.rbxcdn.com/180DAY-aba216cc90049dad170eee5b17595658/420/420/Shirt/Png/noFilter","#481011","0.7997","#83827F","0.1175","#1C1817","0.0271",,"roblox-cdn-thumbnail"
"125004883","https://tr.rbxcdn.com/180DAY-eecfbe6edc40acf3d02f135201ffe4a3/420/420/Shirt/Png/noFilter","#838585","0.8434","#E7E6E5","0.0859","#525761","0.0707",,"roblox-cdn-thumbnail"
"125026001","https://tr.rbxcdn.com/180DAY-0681205bb31fe98c1d865682f5935480/420/420/Shirt/Png/noFilter","#181F30","0.6012","#858180","0.2004","#43424E","0.1415",,"roblox-cdn-thumbnail"
"125026003","https://tr.rbxcdn.com/180DAY-0681205bb31fe98c1d865682f5935480/420/420/Shirt/Png/noFilter","#181F30","0.6012","#858180","0.2004","#43424E","0.1415",,"roblox-cdn-thumbnail"
"125032943","https://tr.rbxcdn.com/180DAY-0312a582bdd7040c25ee1b2481c283b0/420/420/Shirt/Png/noFilter","#7C181C","0.5847","#904649","0.1621","#8B8280","0.1475",,"roblox-cdn-thumbnail"
"125083842","https://tr.rbxcdn.com/180DAY-b62c7f0a076685a5b6205b7dfb447b18/420/420/Shirt/Png/noFilter","#47475F","0.7577","#7A7983","0.2132","#2C2C3B","0.0178",,"roblox-cdn-thumbnail"
"125137004","https://tr.rbxcdn.com/180DAY-81cb128d9999b80e8b7c112ec690fa12/420/420/Shirt/Png/noFilter","#787B78","0.8871","#565C5B","0.0988","#E9E8E3","0.0141",,"roblox-cdn-thumbnail"
"125177725","https://tr.rbxcdn.com/180DAY-d9a05aff5c515bac054c48ceb5cb7c25/420/420/Shirt/Png/noFilter","#12110E","0.4796","#83827D","0.1301","#765C18","0.1165",,"roblox-cdn-thumbnail"
