"gender","groupName","outfitKey","topId","topName","bottomId","bottomName","priceTotal","thumbnailUrl","color1","color2","color3","topUrl","bottomUrl"
"masculine","Beneventi's","cristo","122631474133417","[Emporio Armani] Cristo, Upper","74790165025502","[Emporio Armani] Cristo, Lower","17","https://tr.rbxcdn.com/180DAY-59ab05d74114b3cb352cf9d011c3edbf/420/420/Shirt/Png/noFilter","#202020","#A7A6A3","#7E7D7B","https://www.roblox.com/catalog/122631474133417","https://www.roblox.com/catalog/74790165025502"
"masculine","Beneventi's","the wolf due","16962355544","[Emporio Armani] The Wolf Due, Upper","16962362218","[Emporio Armani] The Wolf Due, Lower","17","https://tr.rbxcdn.com/180DAY-05dc8fd348e6d07c94c1f86294c19f4d/420/420/Shirt/Png/noFilter","#A3896F","#A8A8A4","#75726E","https://www.roblox.com/catalog/16962355544","https://www.roblox.com/catalog/16962362218"
"masculine","Beneventi's","the minister","18727837536","[Emporio Armani] The Minister, Upper","18727842884","[Emporio Armani] The Minister, Lower","17","https://tr.rbxcdn.com/180DAY-311eb83f31f076372c4b4e176c863689/420/420/Shirt/Png/noFilter","#282828","#A7A7A3","#7E7D7A","https://www.roblox.com/catalog/18727837536","https://www.roblox.com/catalog/18727842884"
"masculine","Beneventi's","sorrano","10822998062","[Emporio Armani] Sorrano, Upper","10823005662","[Emporio Armani] Sorrano, Lower","17","https://tr.rbxcdn.com/180DAY-c9048ada8c6071ce1e71cfb8ec4d5527/420/420/Shirt/Png/noFilter","#383838","#A7A7A3","#807F7D","https://www.roblox.com/catalog/10822998062","https://www.roblox.com/catalog/10823005662"
"masculine","Beneventi's","dante","73193442932100","[Emporio Armani] Dante, Upper","104006580561114","[Emporio Armani] Dante, Lower","17","https://tr.rbxcdn.com/180DAY-ed5ddd4c6bf4d0f66047ebb3a39d190e/420/420/Shirt/Png/noFilter","#1C1B19","#A7A7A3","#817F7B","https://www.roblox.com/catalog/73193442932100","https://www.roblox.com/catalog/104006580561114"
"masculine","Beneventi's","grimaldi","76575247927642","[B] Grimaldi, Upper","98831009743332","[B] Grimaldi, Lower","17","https://tr.rbxcdn.com/180DAY-ac87853b5061cfc2a08543bdbae4e244/420/420/Shirt/Png/noFilter","#2B2826","#A7A7A3","#81807D","https://www.roblox.com/catalog/76575247927642","https://www.roblox.com/catalog/98831009743332"
"masculine","Beneventi's","satriani","112331666532226","[B] Satriani, Upper","136886443387785","[B] Satriani, Lower","17","https://tr.rbxcdn.com/180DAY-c5d80d772f86172b0c3fb90351e98bcf/420/420/Shirt/Png/noFilter","#454447","#A7A7A3","#81807E","https://www.roblox.com/catalog/112331666532226","https://www.roblox.com/catalog/136886443387785"
"masculine","Beneventi's","giggi the whale","140686434227911","[B] Giggi The Whale, Upper","78475518605634","[B] Giggi The Whale, Lower","17","https://tr.rbxcdn.com/180DAY-7b96c3c8c302b4120b2d4f09b36af016/420/420/Shirt/Png/noFilter","#A8A8A7","#7C8080","#E4E4E4","https://www.roblox.com/catalog/140686434227911","https://www.roblox.com/catalog/78475518605634"
"masculine","Beneventi's","brief","17614447879","[Emporio Armani] Brief, Upper","17614451982","[Emporio Armani] Brief, Lower","17","https://tr.rbxcdn.com/180DAY-7b31bb3c79130413957ba7de7f119f9a/420/420/Shirt/Png/noFilter","#111317","#A6A6A2","#828180","https://www.roblox.com/catalog/17614447879","https://www.roblox.com/catalog/17614451982"
"masculine","Beneventi's","il siciliano","10822907346","[Emporio Armani] il Siciliano, Upper ","10822911379","[Emporio Armani] il Siciliano, Lower","17","https://tr.rbxcdn.com/180DAY-2cbce24e5e4db945be7e3f16e4957773/420/420/Shirt/Png/noFilter","#272939","#A6A6A3","#808080","https://www.roblox.com/catalog/10822907346","https://www.roblox.com/catalog/10822911379"
"masculine","Beneventi's","franco bonnivaro s blue db","98577932216919","[B] Franco Bonnivaro's Blue DB, Upper","73362244899216","[B] Franco Bonnivaro's Blue DB, Lower","50","https://tr.rbxcdn.com/180DAY-bbac4c66da58b62388db9d0c69c6aea4/420/420/Shirt/Png/noFilter","#181B2C","#A7A6A3","#807F7F","https://www.roblox.com/catalog/98577932216919","https://www.roblox.com/catalog/73362244899216"
"masculine","Beneventi's","dorado","81723412988061","[B] Dorado, Upper","79220089181221","[B] Dorado, Lower","17","https://tr.rbxcdn.com/180DAY-617da3d2059e9ea94c1c833f13d80a0d/420/420/Shirt/Png/noFilter","#88724A","#A7A7A1","#83817E","https://www.roblox.com/catalog/81723412988061","https://www.roblox.com/catalog/79220089181221"
